Parlay_Number,Parlay_Bets,Combined_Odds,Implied_Probability,Expected_Value,Average_Rating
1,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | boxing_boxing 2024-11-16 00:00:00 - Bruce Carrington (-1100.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | basketball_ncaab 2024-11-15 00:00:00 - UMBC Retrievers (-950.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | americanfootball_nfl 2024-11-17 18:00:00 - Detroit Lions (-800.0),100.30310661385951,0.4713908547289883,-0.055789473684211055,4.642857142857143
2,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-17 03:30:00 - UNLV Rebels (-1600.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | americanfootball_ncaaf 2024-11-16 20:00:00 - Sam Houston State Bearkats (-750.0),100.04146730462517,0.47090236474096275,-0.058000000000000274,4.571428571428571
3,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-17 03:30:00 - UNLV Rebels (-1600.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | basketball_ncaab 2024-11-15 01:00:00 - Chattanooga Mocs (-750.0),100.04146730462517,0.47090236474096275,-0.058000000000000274,4.571428571428571
4,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-17 03:30:00 - UNLV Rebels (-1600.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | basketball_ncaab 2024-11-15 01:00:00 - Oklahoma St Cowboys (-750.0),100.04146730462517,0.47090236474096275,-0.058000000000000274,4.571428571428571
5,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - SMU Mustangs (-1100.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | basketball_ncaab 2024-11-15 00:00:00 - UMBC Retrievers (-950.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0),100.30310661385951,0.4702920415478018,-0.05799043062201015,4.571428571428571
6,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - Louisville Cardinals (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | americanfootball_ncaaf 2024-11-16 20:00:00 - Sam Houston State Bearkats (-750.0),100.82594364699627,0.46846537001897526,-0.0592000000000002,4.571428571428571
7,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - Louisville Cardinals (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | basketball_ncaab 2024-11-15 01:00:00 - Chattanooga Mocs (-750.0),100.82594364699627,0.46846537001897526,-0.0592000000000002,4.571428571428571
8,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - Louisville Cardinals (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | basketball_ncaab 2024-11-15 01:00:00 - Oklahoma St Cowboys (-750.0),100.82594364699627,0.46846537001897526,-0.0592000000000002,4.571428571428571
9,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - SMU Mustangs (-1100.0) | boxing_boxing 2024-11-16 00:00:00 - Lucas Bahdi (-800.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0) | americanfootball_nfl 2024-11-17 18:00:00 - Detroit Lions (-800.0),103.87994780339271,0.46518017153097785,-0.05159090909090974,4.642857142857143
10,mma_mixed_martial_arts 2024-11-17 04:15:00 - Bo Nickal (-1500.0) | americanfootball_ncaaf 2024-11-17 03:30:00 - UNLV Rebels (-1600.0) | boxing_boxing 2024-11-16 00:00:00 - Mario Barrios (-1200.0) | americanfootball_ncaaf 2024-11-16 20:30:00 - Louisville Cardinals (-1500.0) | boxing_boxing 2024-11-16 16:00:00 - Oscar Collazo (-1100.0) | mma_mixed_martial_arts 2024-11-17 03:15:00 - Mauricio Ruffy (-950.0) | basketball_ncaab 2024-11-15 00:00:00 - UMBC Retrievers (-950.0) | mma_mixed_martial_arts 2024-11-17 05:30:00 - Jon Jones (-675.0),100.38553587584049,0.4647330909721208,-0.06874210526315844,4.4375
