FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
Dong Hyun Kim,74.0,170.0,76.0,Southpaw,18,13,0,4,1,11978,4.0,8.0,2.0,5915,424,865,1158,1656,39,89,327,740,44,57,53,68,155,470,84,106,185,289,2.0,5.0,2.0,2317.0,377.0,910.0,668.0,1230.0,17.0,60.0,189.0,636.0,109.0,166.0,79.0,108.0,201.0,646.0,142.0,214.0,34.0,50.0,1.67
Dong Hyun Ma,71.0,155.0,70.0,Orthodox,8,3,0,5,0,4962,1.0,0.0,1.0,801,235,567,372,717,7,13,162,461,32,57,41,49,185,488,32,52,18,27,6.0,1.0,2.0,1338.0,339.0,748.0,483.0,911.0,6.0,9.0,241.0,606.0,63.0,89.0,35.0,53.0,237.0,589.0,45.0,67.0,57.0,92.0,0.39
Dongi Yang,70.0,185.0,73.0,Southpaw,5,2,0,3,0,3697,2.0,2.0,1.0,795,219,428,354,604,7,17,157,354,31,38,31,36,145,340,10,10,64,78,1.0,1.0,1.0,359.0,198.0,546.0,246.0,598.0,5.0,13.0,90.0,391.0,50.0,83.0,58.0,72.0,167.0,496.0,27.0,44.0,4.0,6.0,1.3
Donnie Chappell,71.0,178.0,72.0,Southpaw,1,0,0,1,0,91,0.0,0.0,0.0,0,0,2,5,8,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0.0,1.0,0.0,0.0,5.0,8.0,11.0,15.0,1.0,1.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0
Donny Walker,69.0,135.0,72.0,Orthodox,2,0,0,2,0,1060,0.0,2.0,0.0,379,32,86,86,143,0,0,15,59,4,12,13,15,27,79,2,3,3,4,0.0,5.0,2.0,352.0,68.0,128.0,122.0,188.0,3.0,7.0,37.0,88.0,13.0,17.0,18.0,23.0,52.0,106.0,7.0,7.0,9.0,15.0,0.0
Dooho Choi,70.0,145.0,70.0,Orthodox,8,4,0,4,0,3619,4.0,3.0,1.0,486,266,494,321,559,3,8,172,383,55,65,39,46,195,403,32,45,39,46,3.0,0.0,2.0,823.0,271.0,607.0,344.0,693.0,11.0,21.0,172.0,448.0,69.0,101.0,30.0,58.0,215.0,539.0,36.0,41.0,20.0,27.0,0.7
Dorian Price,75.0,170.0,72.0,Southpaw,1,0,0,1,0,23,0.0,0.0,0.0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doug Evans,69.0,155.0,72.0,Orthodox,2,0,0,2,0,1410,0.0,1.0,1.0,224,42,117,88,169,5,6,26,99,11,12,5,6,22,86,18,26,2,5,0.0,0.0,1.0,821.0,60.0,136.0,147.0,236.0,7.0,23.0,37.0,110.0,15.0,18.0,8.0,8.0,19.0,70.0,17.0,22.0,24.0,44.0,0.0
Douglas Silva de Andrade,67.0,135.0,68.0,Orthodox,13,7,0,6,0,9757,6.0,2.0,1.0,574,576,1509,675,1618,6,14,301,1071,134,237,141,201,531,1438,33,52,12,19,2.0,4.0,0.0,1015.0,639.0,1505.0,857.0,1756.0,14.0,51.0,390.0,1176.0,160.0,227.0,89.0,102.0,539.0,1356.0,50.0,73.0,50.0,76.0,1.04
Drakkar Klose,69.0,155.0,70.0,Orthodox,11,9,0,2,0,7994,2.0,0.0,1.0,1911,582,1051,873,1382,14,53,304,727,172,196,106,128,330,735,200,238,52,78,2.0,5.0,1.0,1281.0,461.0,945.0,747.0,1264.0,12.0,39.0,208.0,610.0,143.0,202.0,110.0,133.0,344.0,792.0,98.0,128.0,19.0,25.0,3.2
