FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attempts_fighter,TOTAL STR._landed_fighter,TOTAL STR._attempts_fighter,TD_landed_fighter,TD_attempts_fighter,HEAD_landed_fighter,HEAD_attempts_fighter,BODY_landed_fighter,BODY_attempts_fighter,LEG_landed_fighter,LEG_attempts_fighter,DISTANCE_landed_fighter,DISTANCE_attempts_fighter,CLINCH_landed_fighter,CLINCH_attempts_fighter,GROUND_landed_fighter,GROUND_attempts_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attempts_opponent,TOTAL STR._landed_opponent,TOTAL STR._attempts_opponent,TD_landed_opponent,TD_attempts_opponent,HEAD_landed_opponent,HEAD_attempts_opponent,BODY_landed_opponent,BODY_attempts_opponent,LEG_landed_opponent,LEG_attempts_opponent,DISTANCE_landed_opponent,DISTANCE_attempts_opponent,CLINCH_landed_opponent,CLINCH_attempts_opponent,GROUND_landed_opponent,GROUND_attempts_opponent,form_score_fighter
AJ Cunningham,70.0,145.0,71.0,Orthodox,1,0,0,1,0,276,0.0,0.0,0.0,26,36,75,36,77,0,0,15,49,10,14,11,12,34,72,2,3,0,0,1.0,0.0,0.0,27.0,60.0,91.0,63.0,95.0,2.0,3.0,38.0,66.0,21.0,23.0,1.0,2.0,54.0,84.0,2.0,2.0,4.0,5.0,0.0
AJ Dobson,73.0,185.0,76.0,Orthodox,4,1,0,3,0,2973,0.0,0.0,1.0,424,192,431,250,508,5,6,105,326,29,40,58,65,167,389,18,29,7,13,1.0,0.0,0.0,606.0,278.0,516.0,391.0,658.0,7.0,20.0,131.0,350.0,58.0,66.0,89.0,100.0,200.0,406.0,21.0,30.0,57.0,80.0,0.33
AJ Fletcher,70.0,170.0,67.0,Switch,4,1,0,3,0,2769,0.0,3.0,3.0,612,153,313,242,417,4,12,107,251,17,27,29,35,131,275,12,20,10,18,0.0,1.0,1.0,951.0,220.0,405.0,373.0,582.0,6.0,9.0,131.0,286.0,70.0,97.0,19.0,22.0,150.0,310.0,30.0,41.0,40.0,54.0,0.53
Aalon Cruz,72.0,145.0,78.0,Switch,2,0,0,2,0,185,0.0,0.0,0.0,16,2,15,2,15,0,3,2,6,0,5,0,4,2,15,0,0,0,0,1.0,0.0,0.0,63.0,65.0,92.0,84.0,112.0,0.0,0.0,62.0,88.0,1.0,2.0,2.0,2.0,9.0,14.0,7.0,8.0,49.0,70.0,0.0
Aaron Brink,75.0,205.0,72.0,Orthodox,1,0,0,1,0,55,0.0,0.0,0.0,4,0,5,0,5,0,1,0,5,0,0,0,0,0,3,0,2,0,0,0.0,2.0,0.0,13.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
Aaron Phillips,69.0,135.0,71.0,Southpaw,4,0,0,4,0,3149,0.0,2.0,1.0,434,79,148,425,536,3,6,36,93,38,45,5,10,44,102,22,27,13,19,0.0,2.0,2.0,1805.0,192.0,340.0,326.0,495.0,14.0,25.0,130.0,252.0,28.0,44.0,34.0,44.0,68.0,153.0,31.0,40.0,93.0,147.0,0.0
Aaron Riley,68.0,155.0,69.0,Southpaw,9,3,0,6,0,5722,0.0,1.0,0.0,1117,314,904,581,1190,8,23,147,653,92,142,75,109,190,714,102,160,22,30,2.0,0.0,0.0,406.0,373.0,954.0,503.0,1089.0,11.0,28.0,246.0,776.0,99.0,124.0,28.0,54.0,259.0,761.0,100.0,168.0,14.0,25.0,0.37
Aaron Rosa,76.0,205.0,77.0,Orthodox,3,1,0,2,0,1714,0.0,0.0,0.0,60,132,290,407,598,0,1,81,233,42,47,9,10,80,227,52,63,0,0,0.0,0.0,0.0,798.0,129.0,260.0,270.0,429.0,2.0,14.0,92.0,216.0,16.0,19.0,21.0,25.0,84.0,206.0,30.0,38.0,15.0,16.0,0.33
Aaron Simpson,72.0,170.0,73.0,Orthodox,11,7,0,4,0,7603,6.0,4.0,0.0,3208,454,860,800,1265,32,92,253,608,97,142,104,110,164,454,184,252,106,154,1.0,2.0,1.0,975.0,320.0,730.0,493.0,914.0,5.0,30.0,192.0,576.0,52.0,66.0,76.0,88.0,150.0,473.0,145.0,229.0,25.0,28.0,0.82
Aaron Wilkinson,70.0,155.0,72.0,Orthodox,1,0,0,1,0,123,0.0,0.0,1.0,64,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,2.0,2.0,52.0,0.0,2.0,8.0,10.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Abdul Razak Alhassan,70.0,185.0,73.0,Orthodox,13,6,0,6,1,5021,8.0,1.0,1.0,679,298,599,350,662,5,13,234,504,32,42,32,53,207,466,48,69,43,64,1.0,4.0,0.0,1619.0,333.0,754.0,492.0,945.0,27.0,55.0,203.0,592.0,83.0,113.0,47.0,49.0,251.0,636.0,51.0,74.0,31.0,44.0,0.52
Abdul-Kareem Al-Selwady,68.0,155.0,69.0,Orthodox,1,0,0,1,0,649,0.0,0.0,0.0,164,38,68,50,84,3,7,15,34,8,11,15,23,34,61,4,7,0,0,1.0,0.0,0.0,87.0,39.0,90.0,57.0,115.0,4.0,5.0,33.0,72.0,6.0,15.0,0.0,3.0,18.0,63.0,2.0,2.0,19.0,25.0,0.0
Abdul-Kerim Edilov,74.0,205.0,72.0,Orthodox,1,1,0,0,0,452,0.0,1.0,0.0,331,77,125,150,210,2,2,59,105,16,17,2,3,9,22,6,12,62,91,0.0,0.0,0.0,0.0,1.0,13.0,7.0,21.0,0.0,0.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,1.0,0.9
Abel Trujillo,68.0,155.0,70.0,Orthodox,11,6,0,4,1,6191,3.0,3.0,0.0,1134,273,662,370,767,15,33,195,568,59,75,19,19,145,483,63,97,65,82,1.0,12.0,0.0,1798.0,238.0,590.0,349.0,728.0,34.0,57.0,153.0,458.0,41.0,65.0,44.0,67.0,176.0,487.0,35.0,64.0,27.0,39.0,0.76
Abner Lloveras,71.0,155.0,72.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,171,94,189,99,194,2,10,55,143,33,40,6,6,76,162,18,27,0,0,0.0,0.0,0.0,30.0,103.0,182.0,135.0,217.0,0.0,0.0,42.0,111.0,22.0,30.0,39.0,41.0,81.0,149.0,22.0,31.0,0.0,2.0,0.0
Abu Azaitar,69.0,185.0,76.0,Orthodox,3,1,0,2,0,2696,0.0,0.0,1.0,353,197,453,364,640,3,8,99,325,72,98,26,30,143,380,34,47,20,26,1.0,1.0,1.0,907.0,194.0,399.0,325.0,547.0,4.0,7.0,147.0,334.0,17.0,28.0,30.0,37.0,126.0,302.0,18.0,25.0,50.0,72.0,0.22
Abubakar Nurmagomedov,71.0,170.0,72.0,Orthodox,4,2,0,2,0,2870,0.0,0.0,0.0,1219,133,250,246,378,4,18,90,205,20,22,23,23,119,233,13,15,1,2,0.0,2.0,0.0,83.0,125.0,359.0,265.0,515.0,1.0,9.0,68.0,261.0,39.0,76.0,18.0,22.0,89.0,306.0,30.0,43.0,6.0,10.0,0.73
Abus Magomedov,74.0,185.0,78.0,Orthodox,4,2,0,2,0,2379,1.0,0.0,0.0,741,114,259,191,386,7,9,61,180,38,59,15,20,97,238,4,4,13,17,2.0,0.0,0.0,184.0,148.0,331.0,168.0,355.0,0.0,1.0,120.0,286.0,16.0,22.0,12.0,23.0,133.0,309.0,0.0,1.0,15.0,21.0,0.9
Adam Cella,74.0,170.0,72.0,Orthodox,1,0,0,1,0,191,0.0,0.0,0.0,0,2,12,4,14,0,0,1,8,0,2,1,2,2,12,0,0,0,0,0.0,1.0,0.0,141.0,6.0,11.0,16.0,23.0,1.0,1.0,5.0,8.0,0.0,1.0,1.0,2.0,2.0,7.0,0.0,0.0,4.0,4.0,0.0
Adam Fugitt,73.0,170.0,77.0,Southpaw,4,2,0,2,0,2211,0.0,0.0,0.0,291,174,379,199,414,5,17,79,245,70,101,25,33,158,353,10,15,6,11,3.0,1.0,1.0,99.0,165.0,342.0,172.0,349.0,2.0,4.0,114.0,282.0,29.0,34.0,22.0,26.0,146.0,318.0,12.0,17.0,7.0,7.0,1.1
Adam Milstead,75.0,205.0,76.0,Orthodox,4,1,0,2,1,1979,0.0,0.0,0.0,20,127,271,156,303,0,0,105,245,13,17,9,9,101,234,22,33,4,4,2.0,0.0,0.0,1028.0,158.0,279.0,335.0,490.0,10.0,28.0,104.0,218.0,25.0,31.0,29.0,30.0,107.0,220.0,14.0,18.0,37.0,41.0,0.21
Adam Wieczorek,77.0,250.0,81.0,Orthodox,3,2,0,1,0,2219,0.0,1.0,0.0,266,62,160,118,222,1,3,28,116,21,28,13,16,43,136,12,13,7,11,0.0,0.0,0.0,1238.0,69.0,134.0,156.0,247.0,7.0,17.0,33.0,93.0,23.0,26.0,13.0,15.0,32.0,83.0,11.0,13.0,26.0,38.0,0.93
Adam Yandiev,69.0,185.0,74.0,Orthodox,1,0,0,1,0,342,0.0,0.0,0.0,0,1,12,1,12,0,0,0,9,0,2,1,1,1,10,0,2,0,0,0.0,2.0,0.0,215.0,35.0,55.0,55.0,82.0,3.0,4.0,33.0,52.0,1.0,2.0,1.0,1.0,3.0,15.0,2.0,2.0,30.0,38.0,0.0
Adlan Amagov,74.0,170.0,76.0,Orthodox,2,2,0,0,0,1080,1.0,0.0,0.0,274,53,125,80,152,6,11,22,71,8,15,23,39,29,87,15,23,9,15,0.0,0.0,0.0,38.0,9.0,67.0,28.0,86.0,0.0,3.0,1.0,48.0,2.0,5.0,6.0,14.0,7.0,62.0,2.0,5.0,0.0,0.0,1.5
Adrian Serrano,68.0,170.0,72.0,Orthodox,1,0,0,1,0,600,0.0,0.0,1.0,187,6,23,55,79,0,2,2,16,4,7,0,0,3,15,3,8,0,0,0.0,0.0,0.0,120.0,26.0,55.0,51.0,85.0,3.0,6.0,15.0,41.0,5.0,7.0,6.0,7.0,21.0,44.0,3.0,5.0,2.0,6.0,0.0
Adrian Yanez,67.0,135.0,70.0,Orthodox,8,6,0,2,0,3143,6.0,0.0,0.0,43,338,825,340,830,0,0,240,686,48,85,50,54,301,767,5,12,32,46,3.0,0.0,0.0,89.0,302.0,706.0,306.0,713.0,0.0,6.0,175.0,510.0,65.0,112.0,62.0,84.0,296.0,694.0,1.0,5.0,5.0,7.0,1.48
Adriano Martins,70.0,155.0,72.0,Southpaw,7,4,0,3,0,3445,2.0,2.0,0.0,375,103,234,131,265,4,5,55,173,11,17,37,44,96,220,0,3,7,11,2.0,0.0,0.0,16.0,108.0,342.0,110.0,344.0,1.0,7.0,35.0,214.0,39.0,74.0,34.0,54.0,104.0,336.0,2.0,4.0,2.0,2.0,0.98
Adriano Santos,70.3,168.0,72.0,Orthodox,1,0,0,1,0,540,0.0,0.0,1.0,0,11,36,21,47,2,3,8,30,2,3,1,3,4,24,0,0,7,12,0.0,0.0,0.0,0.0,31.0,44.0,53.0,66.0,4.0,4.0,26.0,36.0,1.0,1.0,4.0,7.0,11.0,23.0,1.0,1.0,19.0,20.0,0.0
Aiemann Zahabi,68.0,135.0,68.0,Orthodox,7,5,0,2,0,4567,3.0,0.0,1.0,176,261,597,266,602,1,6,173,467,46,72,42,58,243,571,11,16,7,10,1.0,0.0,0.0,180.0,275.0,956.0,289.0,970.0,5.0,24.0,141.0,741.0,69.0,130.0,65.0,85.0,262.0,937.0,7.0,13.0,6.0,6.0,3.0
Ailin Perez,65.0,135.0,66.0,Switch,5,4,0,1,0,3526,1.0,1.0,2.0,1665,167,286,381,549,21,41,109,199,36,50,22,37,59,136,32,44,76,106,0.0,3.0,5.0,1026.0,79.0,187.0,243.0,380.0,3.0,9.0,41.0,134.0,21.0,31.0,17.0,22.0,45.0,146.0,18.0,23.0,16.0,18.0,2.9
Aisling Daly,62.0,115.0,64.0,Orthodox,3,2,0,1,0,2093,0.0,2.0,0.0,1266,102,196,268,376,5,12,71,153,25,35,6,8,16,63,28,40,58,93,0.0,1.0,0.0,585.0,49.0,111.0,200.0,277.0,4.0,6.0,32.0,87.0,10.0,16.0,7.0,8.0,21.0,56.0,20.0,35.0,8.0,20.0,1.03
Akbarh Arreola,70.0,155.0,71.0,Southpaw,4,1,0,3,0,2512,2.0,1.0,0.0,174,97,214,157,281,3,3,51,150,26,37,20,27,70,174,4,7,23,33,0.0,0.0,0.0,1101.0,168.0,390.0,280.0,514.0,4.0,6.0,104.0,299.0,18.0,34.0,46.0,57.0,69.0,229.0,31.0,45.0,68.0,116.0,0.36
Akihiro Gono,67.0,170.0,68.0,Switch,3,1,0,2,0,2299,1.0,1.0,1.0,343,90,171,115,197,4,5,33,86,26,39,31,46,74,146,9,15,7,10,0.0,2.0,0.0,677.0,128.0,318.0,267.0,485.0,4.0,7.0,53.0,214.0,40.0,55.0,35.0,49.0,81.0,230.0,34.0,65.0,13.0,23.0,0.36
Akira Corassani,68.0,145.0,68.0,Orthodox,6,3,0,3,0,2564,0.0,0.0,0.0,296,139,307,155,324,2,7,80,229,28,39,31,39,121,279,18,28,0,0,4.0,1.0,0.0,572.0,210.0,422.0,299.0,517.0,2.0,15.0,138.0,328.0,43.0,61.0,29.0,33.0,121.0,314.0,56.0,71.0,33.0,37.0,0.21
Al Iaquinta,70.0,155.0,70.0,Orthodox,15,9,0,6,0,11426,7.0,3.0,0.0,687,774,1909,811,1952,8,43,521,1553,145,235,108,121,715,1819,31,51,28,39,4.0,5.0,0.0,1603.0,863.0,2225.0,984.0,2366.0,14.0,54.0,639.0,1928.0,106.0,161.0,118.0,136.0,740.0,2046.0,12.0,29.0,111.0,150.0,0.15
Alan Baudot,75.0,243.0,79.0,Orthodox,4,0,0,3,1,1868,1.0,0.0,0.0,165,167,285,195,313,0,0,123,236,29,33,15,16,112,224,35,37,20,24,0.0,0.0,0.0,772.0,150.0,282.0,252.0,417.0,6.0,16.0,103.0,232.0,21.0,21.0,26.0,29.0,105.0,218.0,12.0,19.0,33.0,45.0,0.0
Alan Belcher,74.0,185.0,75.0,Orthodox,15,9,0,6,0,8258,3.0,8.0,2.0,1577,372,889,513,1041,4,15,211,672,61,94,100,123,252,705,58,82,62,102,0.0,10.0,1.0,2290.0,427.0,1058.0,747.0,1398.0,22.0,49.0,328.0,921.0,49.0,76.0,50.0,61.0,306.0,870.0,69.0,104.0,52.0,84.0,1.29
Alan Jouban,72.0,170.0,73.0,Southpaw,13,8,0,5,0,7020,9.0,2.0,1.0,480,663,1318,719,1377,4,9,398,961,138,207,127,150,538,1120,86,135,39,63,3.0,2.0,0.0,797.0,441.0,1103.0,503.0,1178.0,7.0,17.0,327.0,934.0,67.0,107.0,47.0,62.0,362.0,971.0,53.0,89.0,26.0,43.0,1.1
Alan Omer,70.0,145.0,72.0,Orthodox,2,0,0,2,0,1601,0.0,0.0,0.0,388,93,167,154,237,3,7,60,124,15,23,18,20,46,103,31,42,16,22,1.0,1.0,0.0,519.0,59.0,168.0,130.0,249.0,3.0,9.0,40.0,137.0,8.0,17.0,11.0,14.0,32.0,122.0,13.0,28.0,14.0,18.0,0.0
Alan Patrick,71.0,155.0,74.0,Southpaw,10,5,0,4,1,6882,1.0,2.0,0.0,2525,209,513,455,816,23,69,127,385,53,95,29,33,140,414,24,36,45,63,3.0,3.0,0.0,1326.0,338.0,598.0,581.0,872.0,9.0,16.0,214.0,439.0,93.0,125.0,31.0,34.0,179.0,384.0,60.0,82.0,99.0,132.0,0.1
Alatengheili,65.0,135.0,66.0,Orthodox,8,5,0,3,0,6347,1.0,0.0,0.0,1008,279,849,433,1066,14,31,189,714,52,83,38,52,265,824,1,5,13,20,0.0,1.0,0.0,167.0,494.0,1176.0,602.0,1300.0,3.0,12.0,292.0,862.0,98.0,161.0,104.0,153.0,449.0,1108.0,22.0,37.0,23.0,31.0,1.37
Albert Cheng,71.0,170.0,72.0,Orthodox,1,0,0,1,0,300,0.0,0.0,0.0,6,5,12,5,12,0,1,4,10,1,2,0,0,5,12,0,0,0,0,0.0,0.0,0.0,32.0,13.0,45.0,15.0,47.0,0.0,0.0,10.0,37.0,0.0,1.0,3.0,7.0,13.0,45.0,0.0,0.0,0.0,0.0,0.0
Albert Duraev,71.0,185.0,75.0,Orthodox,4,2,0,2,0,2985,0.0,1.0,0.0,757,157,390,272,567,6,23,96,303,18,28,43,59,115,318,1,2,41,70,4.0,3.0,0.0,166.0,159.0,393.0,205.0,461.0,1.0,3.0,104.0,309.0,37.0,62.0,18.0,22.0,144.0,370.0,8.0,13.0,7.0,10.0,0.56
Albert Morales,69.0,135.0,72.0,Orthodox,6,1,0,5,0,4450,0.0,0.0,1.0,732,278,805,380,955,3,8,163,645,28,42,87,118,248,750,11,29,19,26,2.0,5.0,2.0,1064.0,294.0,681.0,461.0,864.0,5.0,14.0,217.0,559.0,39.0,70.0,38.0,52.0,226.0,582.0,10.0,20.0,58.0,79.0,0.15
Albert Tumenov,71.0,170.0,73.0,Orthodox,8,5,0,3,0,4450,5.0,0.0,1.0,164,279,664,300,697,1,5,223,583,44,67,12,14,243,598,20,31,16,35,0.0,2.0,0.0,947.0,248.0,598.0,300.0,655.0,9.0,36.0,123.0,431.0,62.0,90.0,63.0,77.0,202.0,539.0,19.0,25.0,27.0,34.0,0.89
Alberta Cerra Leon,68.0,238.0,72.0,Orthodox,1,0,0,1,0,591,0.0,0.0,0.0,0,1,3,9,11,0,0,1,3,0,0,0,0,1,1,0,0,0,2,0.0,1.0,0.0,0.0,4.0,6.0,20.0,22.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0
Alberto Crane,65.0,155.0,72.0,Orthodox,2,0,0,2,0,1125,1.0,5.0,2.0,270,8,32,26,52,0,11,3,25,3,4,2,3,8,32,0,0,0,0,0.0,0.0,0.0,514.0,49.0,115.0,134.0,214.0,1.0,2.0,39.0,100.0,5.0,10.0,5.0,5.0,19.0,52.0,1.0,2.0,29.0,61.0,0.0
Alberto Mina,72.0,170.0,77.0,Orthodox,4,3,0,1,0,2434,3.0,0.0,1.0,254,131,336,165,386,5,24,93,279,13,26,25,31,96,277,14,26,21,33,0.0,1.0,0.0,438.0,150.0,284.0,192.0,338.0,4.0,8.0,110.0,230.0,12.0,19.0,28.0,35.0,118.0,235.0,10.0,19.0,22.0,30.0,1.47
Alberto Uda,75.0,185.0,72.0,Orthodox,2,0,0,2,0,636,0.0,0.0,1.0,295,19,36,49,67,2,4,15,27,4,6,0,3,4,17,11,13,4,6,1.0,1.0,0.0,182.0,37.0,68.0,84.0,129.0,2.0,6.0,31.0,59.0,6.0,9.0,0.0,0.0,14.0,29.0,10.0,19.0,13.0,20.0,0.0
Alejandro Perez,66.0,135.0,67.0,Orthodox,13,8,0,5,0,8332,1.0,3.0,0.0,530,479,1344,647,1529,5,22,296,1081,60,81,123,182,383,1193,28,54,68,97,5.0,6.0,1.0,651.0,442.0,1155.0,474.0,1192.0,9.0,31.0,214.0,828.0,119.0,184.0,109.0,143.0,414.0,1097.0,13.0,36.0,15.0,22.0,0.68
Aleksa Camur,73.0,205.0,74.0,Orthodox,4,1,0,3,0,3600,0.0,0.0,0.0,387,267,479,370,587,2,9,150,329,86,106,31,44,205,402,61,76,1,1,0.0,1.0,1.0,1092.0,273.0,593.0,362.0,702.0,5.0,10.0,206.0,502.0,39.0,59.0,28.0,32.0,196.0,499.0,58.0,73.0,19.0,21.0,0.15
Aleksandar Rakic,76.0,205.0,78.0,Orthodox,9,6,0,3,0,5960,4.0,1.0,0.0,2137,423,833,770,1208,5,20,244,593,64,84,115,156,265,631,43,52,115,150,1.0,1.0,0.0,253.0,278.0,566.0,431.0,723.0,3.0,21.0,149.0,385.0,51.0,87.0,78.0,94.0,203.0,469.0,47.0,58.0,28.0,39.0,0.49
Aleksandra Albu,62.0,115.0,63.0,Orthodox,4,2,0,2,0,2375,0.0,1.0,0.0,382,191,405,241,472,6,12,138,335,45,60,8,10,112,305,62,78,17,22,0.0,1.0,1.0,603.0,220.0,358.0,315.0,462.0,4.0,18.0,99.0,214.0,80.0,102.0,41.0,42.0,107.0,215.0,100.0,123.0,13.0,20.0,0.62
Aleksei Kunchenko,68.0,170.0,70.0,Orthodox,4,2,0,2,0,3600,0.0,0.0,0.0,130,220,496,409,697,1,3,125,362,34,58,61,76,172,432,38,50,10,14,0.0,0.0,0.0,782.0,170.0,470.0,203.0,507.0,5.0,26.0,73.0,317.0,37.0,72.0,60.0,81.0,153.0,444.0,5.0,9.0,12.0,17.0,0.49
Aleksei Oleinik,74.0,240.0,80.0,Orthodox,17,9,0,8,0,6940,2.0,15.0,4.0,2110,380,777,744,1172,14,30,239,615,91,102,50,60,266,620,86,118,28,39,5.0,1.0,4.0,2032.0,440.0,790.0,670.0,1032.0,15.0,24.0,347.0,678.0,67.0,85.0,26.0,27.0,248.0,555.0,85.0,110.0,107.0,125.0,0.53
Alen Amedovski,70.0,185.0,74.0,Orthodox,4,0,0,4,0,1216,0.0,0.0,1.0,13,20,66,20,66,0,0,13,54,2,5,5,7,17,61,0,0,3,5,3.0,1.0,0.0,602.0,78.0,145.0,146.0,225.0,5.0,5.0,64.0,122.0,8.0,15.0,6.0,8.0,33.0,89.0,1.0,1.0,44.0,55.0,0.0
Alessandro Costa,64.0,125.0,67.0,Orthodox,4,2,0,2,0,2391,2.0,0.0,0.0,167,182,345,248,432,1,8,106,249,34,47,42,49,130,277,21,25,31,43,2.0,1.0,1.0,757.0,143.0,299.0,198.0,365.0,2.0,18.0,82.0,226.0,45.0,57.0,16.0,16.0,98.0,241.0,26.0,29.0,19.0,29.0,1.5
Alessio Di Chirico,72.0,185.0,74.0,Orthodox,11,4,0,7,0,6786,3.0,0.0,0.0,707,375,944,462,1044,11,28,254,765,67,114,54,65,314,842,45,71,16,31,3.0,4.0,1.0,562.0,389.0,1011.0,580.0,1217.0,4.0,24.0,196.0,741.0,110.0,168.0,83.0,102.0,335.0,940.0,53.0,70.0,1.0,1.0,0.31
Alessio Sakara,72.0,185.0,72.0,Orthodox,15,6,0,8,1,4535,4.0,0.0,2.0,1233,299,626,421,764,11,14,241,552,49,64,9,10,133,343,56,87,110,196,4.0,3.0,0.0,978.0,212.0,520.0,463.0,808.0,13.0,35.0,150.0,445.0,21.0,24.0,41.0,51.0,107.0,354.0,43.0,69.0,62.0,97.0,0.0
Alex Andrade,71.0,200.0,72.0,Orthodox,1,0,0,1,0,343,1.0,0.0,0.0,92,12,27,30,45,0,1,8,23,3,3,1,1,6,18,6,9,0,0,0.0,0.0,0.0,14.0,6.0,10.0,16.0,20.0,0.0,0.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,6.0,0.0,0.0,0.0
Alex Caceres,70.0,145.0,73.0,Southpaw,30,16,0,13,1,21646,5.0,16.0,12.0,2653,1519,3040,1803,3356,13,19,950,2289,381,521,188,230,1306,2737,128,177,85,126,5.0,14.0,8.0,4600.0,1115.0,3001.0,1505.0,3468.0,46.0,131.0,633.0,2305.0,210.0,358.0,272.0,338.0,957.0,2752.0,70.0,105.0,88.0,144.0,0.58
Alex Chambers,63.0,115.0,63.0,Southpaw,5,1,0,4,0,2730,0.0,3.0,0.0,623,135,250,214,341,7,17,78,162,29,42,28,46,88,179,32,55,15,16,0.0,9.0,2.0,1026.0,232.0,469.0,484.0,777.0,7.0,15.0,132.0,324.0,66.0,98.0,34.0,47.0,120.0,295.0,80.0,131.0,32.0,43.0,0.24
Alex Da Silva,68.0,155.0,73.0,Orthodox,4,1,0,3,0,3190,1.0,1.0,1.0,1662,114,246,222,382,7,16,72,198,25,29,17,19,87,211,9,12,18,23,0.0,4.0,1.0,526.0,134.0,309.0,254.0,444.0,3.0,13.0,104.0,274.0,19.0,23.0,11.0,12.0,106.0,275.0,11.0,15.0,17.0,19.0,0.22
Alex Garcia,69.0,170.0,72.0,Orthodox,10,5,0,5,0,7024,3.0,1.0,1.0,1955,212,676,330,818,29,55,176,620,25,44,11,12,160,582,30,50,22,44,2.0,0.0,3.0,1105.0,355.0,870.0,601.0,1135.0,7.0,21.0,216.0,687.0,78.0,118.0,61.0,65.0,266.0,741.0,39.0,64.0,50.0,65.0,0.56
Alex Gorgees,74.0,155.0,74.0,Switch,1,0,0,1,0,900,0.0,0.0,0.0,0,10,31,22,43,0,0,5,21,3,5,2,5,5,26,5,5,0,0,0.0,0.0,0.0,586.0,34.0,55.0,103.0,137.0,5.0,11.0,22.0,38.0,9.0,13.0,3.0,4.0,20.0,32.0,3.0,3.0,11.0,20.0,0.0
Alex Hunter,69.0,226.0,72.0,Orthodox,2,2,0,0,0,870,0.0,0.0,1.0,0,18,30,36,55,2,6,12,23,4,5,2,2,5,6,3,5,10,19,0.0,4.0,0.0,0.0,13.0,23.0,28.0,38.0,1.0,1.0,2.0,10.0,11.0,13.0,0.0,0.0,1.0,7.0,12.0,16.0,0.0,0.0,1.4
Alex Karalexis,68.0,155.0,66.0,Orthodox,3,1,0,2,0,1249,0.0,3.0,0.0,262,42,138,74,171,1,5,35,127,5,9,2,2,11,76,22,50,9,12,0.0,3.0,0.0,239.0,67.0,139.0,94.0,166.0,1.0,5.0,36.0,95.0,30.0,42.0,1.0,2.0,32.0,82.0,35.0,57.0,0.0,0.0,0.4
Alex Morono,71.0,170.0,72.0,Orthodox,21,13,0,7,1,15031,5.0,6.0,1.0,939,1242,3012,1451,3252,6,23,987,2650,170,255,85,107,1094,2762,92,154,56,96,4.0,0.0,3.0,2068.0,1087.0,2574.0,1267.0,2783.0,23.0,45.0,553.0,1785.0,387.0,581.0,147.0,208.0,943.0,2332.0,72.0,134.0,72.0,108.0,0.69
Alex Nicholson,76.0,185.0,77.0,Orthodox,4,1,0,3,0,1705,1.0,1.0,0.0,1,117,268,121,272,0,0,67,201,23,36,27,31,109,254,5,11,3,3,1.0,2.0,0.0,431.0,132.0,250.0,200.0,333.0,5.0,10.0,92.0,200.0,26.0,33.0,14.0,17.0,89.0,190.0,16.0,27.0,27.0,33.0,0.31
Alex Oliveira,71.0,170.0,76.0,Orthodox,22,11,0,10,1,12623,6.0,8.0,1.0,4165,629,1230,909,1561,33,86,356,884,158,218,115,128,374,857,142,209,113,164,4.0,7.0,7.0,3171.0,537.0,1007.0,876.0,1392.0,17.0,47.0,328.0,737.0,90.0,135.0,119.0,135.0,303.0,704.0,108.0,141.0,126.0,162.0,0.1
Alex Pereira,76.0,205.0,79.0,Orthodox,10,9,0,1,0,6383,7.0,2.0,0.0,139,581,921,767,1123,1,1,291,560,159,191,131,170,480,800,65,76,36,45,1.0,2.0,0.0,1324.0,307.0,670.0,393.0,780.0,7.0,22.0,169.0,475.0,73.0,114.0,65.0,81.0,277.0,626.0,12.0,21.0,18.0,23.0,3.4
Alex Perez,66.0,125.0,65.0,Orthodox,12,7,0,5,0,5121,4.0,4.0,0.0,1520,357,759,542,981,12,26,216,562,53,82,88,115,251,617,51,71,55,71,0.0,2.0,0.0,515.0,272.0,668.0,381.0,791.0,7.0,29.0,197.0,561.0,48.0,65.0,27.0,42.0,209.0,583.0,17.0,24.0,46.0,61.0,0.47
Alex Reyes,71.0,155.0,73.0,Orthodox,3,0,0,3,0,1197,0.0,0.0,0.0,275,89,191,110,213,2,7,39,124,27,42,23,25,67,156,21,34,1,1,2.0,1.0,0.0,26.0,138.0,266.0,158.0,288.0,0.0,0.0,77.0,182.0,42.0,62.0,19.0,22.0,97.0,212.0,39.0,49.0,2.0,5.0,0.0
