Date,Parlay,Combined Decimal Odds,Overall%,EV,Legs,Favorites,Successful,Normalized EV,Normalized Overall%,Combined Score,Event,Bet Size,Payout,Potential ROI,Rolling Bankroll
9/30/2023,Johnny Munoz,2.1,0.5055,1.06155,1,1,0,0.5130317459701552,1.0,1.0,Green vs Dawson_AllParlays,7.281400699950355,15.290941469895746,9.591759169852528,60.00000000000002
9/30/2023,Joe Pyfer,1.2857142857142856,0.5049,0.6491571428571428,1,1,0,0.2839007821140752,0.9988082819050336,0.9988082819050336,Green vs Dawson_AllParlays,7.272758087843591,9.350688970084615,9.591759169852528,60.00000000000002
9/30/2023,Mateus Mendonca,1.3846153846153846,0.5042,0.6981230769230768,1,1,0,0.3111069072307237,0.9974179441275728,0.9974179441275728,Green vs Dawson_AllParlays,7.262675040385696,10.056011594380195,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Johnny Munoz, Mateus Mendonca",3.738461538461538,0.12868542819,0.4810855238487692,3,3,0,0.190517952142071,0.2515720938783441,0.2515720938783441,Green vs Dawson_AllParlays,1.8536303993987682,6.929725954675394,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alex Morono, Drew Dober, Johnny Munoz, Mateus Mendonca",11.6964,0.0323130615804599,0.3779464934696921,5,5,0,0.1332125332129722,0.0601576053061362,0.0601576053061362,Green vs Dawson_AllParlays,0.4654487620365968,5.444074900284851,9.591759169852528,60.00000000000002
9/30/2023,"Grant Dawson, Joe Pyfer, Alex Morono, Johnny Munoz, Mateus Mendonca",11.696399999999995,0.0322937240211658,0.3777203136411643,5,5,0,0.1330868646878807,0.0601191971072641,0.0601191971072641,Green vs Dawson_AllParlays,0.4651702169964793,5.440816926077618,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Drew Dober, Montel Jackson, Johnny Munoz, Mateus Mendonca",7.163786982248521,0.0322679045768538,0.2311603947521029,5,5,0,0.0516562218043485,0.0600679146089497,0.0600679146089497,Green vs Dawson_AllParlays,0.46479830459314453,3.3297160438155515,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Drew Dober, Alexander Hernandez, Johnny Munoz, Mateus Mendonca",11.83846153846154,0.0322614535763386,0.3819259773383477,5,5,0,0.1354235874508949,0.0600551016522088,0.0600551016522088,Green vs Dawson_AllParlays,0.4647053821012221,5.501396792721391,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Drew Dober, Diana Belbita, Johnny Munoz, Mateus Mendonca",11.175507692307692,0.0322614535763386,0.3605381226074003,5,5,0,0.1235402105096251,0.0600551016522088,0.0600551016522088,Green vs Dawson_AllParlays,0.4647053821012221,5.193318572328993,9.591759169852528,60.00000000000002
9/30/2023,"Grant Dawson, Joe Pyfer, Montel Jackson, Johnny Munoz, Mateus Mendonca",7.163786982248521,0.0322485940414996,0.2310220581903122,5,5,0,0.0515793601681911,0.0600295600849412,0.0600295600849412,Green vs Dawson_AllParlays,0.4645201488154106,3.327723395075984,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alex Morono, Montel Jackson, Johnny Munoz, Mateus Mendonca",13.969384615384612,0.0322421571963815,0.450403094705945,5,5,0,0.1734703858683762,0.0600167752436051,0.0600167752436051,Green vs Dawson_AllParlays,0.46442743022283217,6.487765398717443,9.591759169852528,60.00000000000002
9/30/2023,"Grant Dawson, Joe Pyfer, Alexander Hernandez, Johnny Munoz, Mateus Mendonca",11.83846153846154,0.0322421469015473,0.3816974160113947,5,5,0,0.1352965957335606,0.060016754796038,0.060016754796038,Green vs Dawson_AllParlays,0.464427281932401,5.498104514568964,9.591759169852528,60.00000000000002
9/30/2023,"Grant Dawson, Joe Pyfer, Diana Belbita, Johnny Munoz, Mateus Mendonca",11.175507692307692,0.0322421469015473,0.3603223607147566,5,5,0,0.1234203303284615,0.060016754796038,0.060016754796038,Green vs Dawson_AllParlays,0.464427281932401,5.190210661753101,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alex Morono, Alexander Hernandez, Johnny Munoz, Mateus Mendonca",23.085,0.0322357113432835,0.7441613963597005,5,5,0,0.3366864106680819,0.0600039725106477,0.0600039725106477,Green vs Dawson_AllParlays,0.4643345818761268,10.719163822610387,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alex Morono, Diana Belbita, Johnny Munoz, Mateus Mendonca",21.792240000000003,0.0322357113432835,0.7024883581635574,5,5,0,0.3135323156266497,0.0600039725106477,0.0600039725106477,Green vs Dawson_AllParlays,0.4643345818761268,10.118890648544207,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alexander Hernandez, Montel Jackson, Johnny Munoz, Mateus Mendonca",14.13905325443787,0.032190662435437,0.4551454904702773,5,5,0,0.1761053241163295,0.0599144965129159,0.0599144965129159,Green vs Dawson_AllParlays,0.4636856814822089,6.556076543797268,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Diana Belbita, Montel Jackson, Johnny Munoz, Mateus Mendonca",13.347266272189351,0.032190662435437,0.4296573430039418,5,5,0,0.1619437699217954,0.0599144965129159,0.0599144965129159,Green vs Dawson_AllParlays,0.4636856814822089,6.188936257344621,9.591759169852528,60.00000000000002
9/30/2023,"Joe Pyfer, Alexander Hernandez, Diana Belbita, Johnny Munoz, Mateus Mendonca",22.05692307692308,0.0321842268771732,0.7098850165200513,5,5,0,0.3176419975214321,0.0599017142275256,0.0599017142275256,Green vs Dawson_AllParlays,0.46359298142593475,10.225434730313273,9.591759169852528,60.00000000000002
