Date,Parlay,Combined Decimal Odds,Overall%,EV,Legs,Favorites,Successful,Normalized EV,Normalized Overall%,Combined Score,Event,Bet Size,Payout,Potential ROI,Rolling Bankroll
10/14/2023,Kamaru Usman,3.1,0.6999627947807312,2.169884663820267,1,1,0,0.0511174959070231,1.0,1.0,294_AllParlays,35.612757944977766,110.39954962943108,118.412022969004,1510.0720000000006
10/14/2023,Alexander Volkanovski,3.05,0.6732049584388733,2.0532751232385635,1,1,0,0.0479327975411935,0.9610448197531068,0.9610448197531068,294_AllParlays,34.251370802861985,104.46668094872905,118.412022969004,1510.0720000000006
10/14/2023,Anshul Jubli,1.25,0.6352202296257019,0.7940252870321274,1,1,0,0.0135416930438054,0.9057450586423136,0.9057450586423136,294_AllParlays,32.318781009638975,40.39847626204872,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Anshul Jubli",11.81875,0.2993274756045696,3.537676602301507,3,3,0,0.0884729706781804,0.4167383015432815,0.4167383015432815,294_AllParlays,15.229205058428947,179.99016728430712,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Said Nurmagomedov, Anshul Jubli",74.26114583333333,0.1192644734463776,8.85671645533716,5,5,0,0.2337401370115917,0.1545950319883993,0.1545950319883993,294_AllParlays,6.067946547947002,450.61266350596384,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Anshul Jubli, Nathaniel Wood",67.9959375,0.1179955913866412,8.023220857201594,5,5,0,0.2109767159735967,0.1527477402747656,0.1527477402747656,294_AllParlays,6.003388274291511,408.2060138869584,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Sedriques Dumas, Anshul Jubli",81.6536580882353,0.1172509008164249,9.573964965801949,5,5,0,0.2533287585581318,0.151663588513752,0.151663588513752,294_AllParlays,5.965499853337182,487.1048853498121,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Said Nurmagomedov, Anshul Jubli, Nathaniel Wood",22.57847222222222,0.1169693360418012,2.640988904671585,5,5,0,0.0639837236486834,0.151253674707325,0.151253674707325,294_AllParlays,5.951174380270221,134.3684254345317,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Said Nurmagomedov, Nathaniel Wood",78.57308333333333,0.1167419218520888,9.17277275417766,5,5,0,0.2423718833799108,0.150922595593238,0.150922595593238,294_AllParlays,5.939603984597952,466.69299884881355,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Javid Basharat, Anshul Jubli",62.58798913043479,0.1164518037325044,7.288484226229512,5,5,0,0.1909104800867275,0.1505002294685293,0.1505002294685293,294_AllParlays,5.924843333824437,370.82403017693287,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Said Nurmagomedov, Sedriques Dumas, Anshul Jubli",27.11360294117647,0.1162311223464321,3.151444500708464,5,5,0,0.0779246678837581,0.1501789522523244,0.1501789522523244,294_AllParlays,5.913615490225096,160.3394223487539,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Said Nurmagomedov, Sedriques Dumas",94.35533823529413,0.1160051434069746,10.945704543198888,5,5,0,0.290792046456251,0.1498499626357462,0.1498499626357462,294_AllParlays,5.902118117319608,556.896351264349,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Said Nurmagomedov, Javid Basharat, Anshul Jubli",20.78272946859904,0.1154389753327963,2.399136994473784,5,5,0,0.0573785575590354,0.149025711410876,0.149025711410876,294_AllParlays,5.873312576893416,122.06346637009617,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Said Nurmagomedov, Javid Basharat",72.32389855072464,0.1152145365018607,8.332764449529334,5,5,0,0.2194305951992717,0.1486989639488691,0.1486989639488691,294_AllParlays,5.861893561741236,423.95499527451904,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Sedriques Dumas, Anshul Jubli, Nathaniel Wood",24.826102941176472,0.1149945128040714,2.854865612544313,5,5,0,0.0698248649365529,0.1483786442228469,0.1483786442228469,294_AllParlays,5.850699180054159,145.25006012188132,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Sedriques Dumas, Nathaniel Wood",86.39483823529412,0.1147709381063287,9.915616631809222,5,5,0,0.2626595345562926,0.14805315480218,0.14805315480218,294_AllParlays,5.839324130333371,504.4874636436011,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Javid Basharat, Anshul Jubli, Nathaniel Wood",19.02934782608696,0.1142107936240161,2.173356917364837,5,5,0,0.0512123258852048,0.1472376729749497,0.1472376729749497,294_AllParlays,5.810825058651907,110.57621119762929,118.412022969004,1510.0720000000006
10/14/2023,"Alexander Volkanovski, Kamaru Usman, Warlley Alves, Tim Elliott, Anshul Jubli",257.0578125,0.1140228187070633,29.310456351921783,5,5,0,0.7923478778431913,0.1469640112080475,0.1469640112080475,294_AllParlays,5.80126125716548,1491.2595285079583,118.412022969004,1510.0720000000006
