Date,Parlay,Combined Decimal Odds,Overall%,EV,Legs,Favorites,Successful,Min Weighted EV,Max Weighted EV,Normalized EV,Normalized Overall%,Combined Score,Event,Bet Size,Payout,Potential ROI,Rolling Bankroll
9/30/2023,Joaquin Buckley,1.5555555555555556,0.6637000000000001,1.0324222222222224,1,1,0,1.5902759148888888,1.8680387895555557,0.1626723877472471,1.0,1.0,Green vs Dawson,27.88974367090367,43.3840457102946,23.981436998829157,389.99999999999983
9/30/2023,Philipe Lins,2.15,0.6462,1.38933,1,1,0,2.1991544954,2.5923904586,0.2435394130042884,0.973381235682432,0.973381235682432,Green vs Dawson,27.154365466533,58.38188575304595,23.981436998829157,389.99999999999983
9/30/2023,Joe Pyfer,1.2173913043478262,0.6235,0.7590434782608697,1,1,0,1.245969291304348,1.474593186956522,0.1007311043986234,0.93885289568193,0.93885289568193,Green vs Dawson,26.200474881435046,31.896230290442666,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Philipe Lins",4.071497584541064,0.26740851309,1.0887531151316523,3,3,0,4.351036682384542,6.587349465132368,0.1754356616888278,0.3972120176505251,0.3972120176505251,Green vs Dawson,11.236936696546012,45.75116061762793,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Drew Dober, Philipe Lins, Chris Gutierrez",12.724627450980396,0.097082243520044,1.2353353808979166,5,5,0,14.207691038675376,26.07219974023522,0.2086478036649976,0.138133456120629,0.138133456120629,Green vs Dawson,4.07955233805978,51.91078366858673,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Philipe Lins, Diana Belbita, Chris Gutierrez",24.51611555555556,0.0968550746400038,2.374510202016294,5,5,0,27.374154710920457,50.238467953839645,0.4667583990830758,0.1377879158418818,0.1377879158418818,Green vs Dawson,4.070006335597331,99.7807456353474,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Drew Dober, Philipe Lins, Diana Belbita",11.970202898550726,0.0954983374375647,1.1431344756019133,5,5,0,13.367751762065623,24.548142670184816,0.1877572167920594,0.1357242205371616,0.1357242205371616,Green vs Dawson,4.012994051726899,48.03635302984815,23.981436998829157,389.99999999999983
9/30/2023,"Grant Dawson, Joe Pyfer, Joaquin Buckley, Philipe Lins, Chris Gutierrez",12.876111111111117,0.0942101798223928,1.213060743190888,5,5,0,14.380907476918892,26.41927840338112,0.203600887340391,0.1337648397393249,0.1337648397393249,Green vs Dawson,3.9588635926416695,50.97476749258667,23.981436998829157,389.99999999999983
9/30/2023,"Joaquin Buckley, Drew Dober, Philipe Lins, Diana Belbita, Chris Gutierrez",24.876646666666662,0.0929404830106083,2.31204755688424,5,5,0,27.79062026299173,51.10240903359232,0.4526058122917045,0.131833539157173,0.131833539157173,Green vs Dawson,3.905508886267655,97.15596461720729,23.981436998829157,389.99999999999983
9/30/2023,"Grant Dawson, Joe Pyfer, Joaquin Buckley, Drew Dober, Philipe Lins",6.286871270247231,0.0928904920694423,0.5839905658705052,5,5,0,7.022696975325236,12.909302615949278,0.0610681741712966,0.1317574993239781,0.1317574993239781,Green vs Dawson,3.903408186350544,24.540224782815088,23.981436998829157,389.99999999999983
9/30/2023,"Grant Dawson, Joe Pyfer, Joaquin Buckley, Philipe Lins, Diana Belbita",12.112705314009665,0.0926731317336622,1.1225223352162483,5,5,0,13.530727188470776,24.874902184159662,0.1830869838048504,0.1314268785496857,0.1314268785496857,Green vs Dawson,3.894274354726123,47.17019767070266,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Philipe Lins, Chris Gutierrez, Montana De La Rosa",15.325712737127375,0.0904943459988778,1.3868903511130135,5,5,0,17.121641196446326,31.48906887099792,0.2429866451453456,0.1281127880369596,0.1281127880369596,Green vs Dawson,3.8027182666487405,58.279367774885536,23.981436998829157,389.99999999999983
9/30/2023,"Grant Dawson, Joaquin Buckley, Drew Dober, Philipe Lins, Chris Gutierrez",13.06546568627451,0.0904024869089616,1.181150590662919,5,5,0,14.599694169531814,26.873522035590245,0.1963707868183396,0.1279730637246793,0.1279730637246793,Green vs Dawson,3.7988581996431576,49.63385145446024,23.981436998829157,389.99999999999983
9/30/2023,"Grant Dawson, Joaquin Buckley, Philipe Lins, Diana Belbita, Chris Gutierrez",25.172797222222226,0.090190948413771,2.270358455699763,5,5,0,28.12943202216712,51.78251042172627,0.4431600287914989,0.1276512983905324,0.1276512983905324,Green vs Dawson,3.789969011143241,95.4041213960149,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Drew Dober, Diana Belbita, Chris Gutierrez",14.085866666666671,0.0896756285315913,1.2631589467455249,5,5,0,15.744465240134405,29.013253827876284,0.214951978418904,0.1268674596195667,0.1268674596195667,Green vs Dawson,3.7683144391641665,53.07997474814125,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Drew Dober, Philipe Lins, Montana De La Rosa",7.48291019483085,0.0892267093130003,0.667675452769459,5,5,0,8.361092143596915,15.386547733725449,0.0800292287737657,0.1261846210551496,0.1261846210551496,Green vs Dawson,3.749450130085598,28.056798603427374,23.981436998829157,389.99999999999983
9/30/2023,"Joe Pyfer, Joaquin Buckley, Philipe Lins, Diana Belbita, Montana De La Rosa",14.417073642040773,0.0890179220941499,1.2833779382928074,5,5,0,16.109431519785215,29.648294541740764,0.2195331329970035,0.1258670406110867,0.1258670406110867,Green vs Dawson,3.7406765546516696,53.92960935946848,23.981436998829157,389.99999999999983
